Category,Message
HAM,just wanted to check with you if you'll be sharing the first draft today.
HAM,"Hi,Job Title:- SAP ABAP Consultant Experience-6 to 10 yearsProcess:1. Instruction invite will be shared to shortlisted candidates."
SPAM,Winter is here and so are the grand holidays
HAM,"Hi,We are looking for an expert in SAP for our Online training on weekends from 8 P.M to 11 P.M (IST) and on weekdays from 7 A.M to 9 A.M (IST). "
HAM,Your prepaid recharge is now successful.
SPAM,Save this deal!
SPAM,"THE PERFECT GIFT OF THE SEASON IS HERE. Give your loved ones, or yourself, a SpiceJet Gift Card that comes with exclusive benefits."
SPAM,Health Insurance at affordable price
SPAM,Apply and get ?1000 cashback* with xyz Cashback Credit Cards on spends of ?5000 within 30 days of card issuance. Get 5% cashback on movies and utility bills. Assured cashback on every purchase.
SPAM,Buy on credit &amp; get Rs 1000 cashback also
SPAM,The End Of Reason Sale Is Here!
SPAM,Get rich quick!
HAM,"Hello, how are you doing?"
SPAM,Make money fast with this  scheme!
HAM,Thanks for the update.
HAM,Can we meet for dinner today?
SPAM,Click on below link to win $5000
SPAM,You have won a deal worth of $50000. Click on the below link and provide your details to get your money
HAM,Lets find root cause of the issue. We will discuss in our next meeting
HAM,Can you please come up with a write-up to explain how to improve our service
HAM,what is next step? Do you have any plan?
HAM,we need to sit togethere and plan for this year budget
HAM,Lets find a way to address this issue
HAM,"Its long time, let's meet at coffee shop"
HAM,You should cut down the sugar. This is good for health
HAM,Wondering if you are available on weekend
SPAM,Beat the heat with super cool spec
SPAM,great deal here. Check the link below
SPAM,Here's your wish link. Do shopping with us
SPAM,"Did You Just Say ""Discounts""? We Got You"
SPAM,Best winter deal here
SPAM,you have won lottery
SPAM,Get exceited to plan your trip for Goa
SPAM,Provide your phone number and email id to win this gift
SPAM,you can plan your holiday with us. Click the below link and provide the details
SPAM,This is your last chnace to win
SPAM,This is your last chnace to make a trip for Singapore
SPAM,Winner! You have won a mobile
SPAM,You have won a year free membership with us. Please pay $5 using below link to activate the service
HAM,You are always welcom
HAM,Come to my place and we will go together
HAM,I want to share that I have passed the exam
HAM,I have got offer from xyz Ltd.
HAM,Loved the movie. I will recommend you as well
HAM,We went to play football yesterday
HAM,It is raining heavily here
HAM,My kids love the cartoon
HAM,He is up to something. Lets see
HAM,we would like to invite you next weekend at my place
HAM,Lets plan for swimming in summer
HAM,Its awesome. Thanks for your support as always
HAM,Are you joining us?
HAM,Are you in town. Love to catchup
HAM,Let it go. You will feel better
HAM,Are you kidding? This cannot be true
HAM,It was a great trip. We should plan again
HAM,Food was awesome. Thanks for inviting us
HAM,How are you doing? No news..long time
HAM,Are you okay? Whay are not answering my call?
SPAM,buy our service at unbelievable prices
SPAM,re:
SPAM,want a free pass?
SPAM,re : your document
SPAM,your passpord for xx has been expired. click on below link to reset it and attract a prize.
SPAM,let this product make your life better
SPAM,complimentary to you - iPhone !
SPAM,complimentary to you - hp laptop !
SPAM,dont have stress booster? you must buy via us for stress booster to work. simply upgrade for the small fee as you will be getting $ 500 ' s of free programming a month ! a very worthwhile investment to reduce stress !
SPAM,75 % off for all new software
HAM,I have joined back office. Not sure if you are still working in the same department
HAM,Can we discuss this topic during lunch break?
HAM,Got promotion. A party on me
HAM,How is life? Are you looking for a change?
HAM,I badly need a break.. Can you suggest some nice place for vaccation?
HAM,What is the best way to tackle this negotiation? Need some intel
HAM,Can we meet to same cofee shop where we used to meet? Not sure if you still remember
SPAM,Your tax refund is pending acceptance. Must accept by clicking following link
SPAM,Amount received 2.2 bitcoint BTC
SPAM,"You have won a free holiday package .  To claim , please click below link"
SPAM,Provide your bank account number and ATM pin to get the refund
